window,true_label,true_activity,predicted,dominant_freq_hz,acf_step_freq_hz,steps_in_window,step_rate_per_min,mag_mean,mag_std,mag_rms,wavelet_A4,wavelet_D4,wavelet_D3,wavelet_D2,wavelet_D1,reason
186,M,Kicking,Brisk Walking,2.745,2.857,4,94.1,10.013,0.7231,10.0391,0,0,0,0.002,0.0001,Step freq ~2.86 Hz
187,M,Kicking,Running (fast),1.176,4.0,3,70.6,10.0373,0.8976,10.0773,0,0,0,0.0022,0.0003,"Step freq ~4.00 Hz, high cadence"
188,M,Kicking,Brisk Walking,2.353,2.222,4,94.1,10.0535,1.1545,10.1196,0,0,0,0.0015,0.0001,Step freq ~2.35 Hz
189,M,Kicking,Brisk Walking,1.961,1.818,5,117.6,10.4984,1.8814,10.6657,0,0,0,0.007,0.0004,Step freq ~1.96 Hz
190,M,Kicking,Brisk Walking,1.569,1.667,3,70.6,10.3308,1.6891,10.468,0,0,0,0.0077,0.0002,Step freq ~1.67 Hz
191,M,Kicking,Brisk Walking,1.961,1.818,2,47.1,10.3847,1.7901,10.5379,0,0,0,0.0012,0.0001,Step freq ~1.96 Hz
192,M,Kicking,Brisk Walking,1.569,2.222,4,94.1,10.0228,0.9625,10.0689,0,0,0,0.0032,0.0002,Step freq ~2.22 Hz
193,M,Kicking,Brisk Walking,0.392,1.818,5,117.6,10.2263,0.9839,10.2736,0,0,0,0.0019,0.0004,Step freq ~1.82 Hz
194,M,Kicking,Brisk Walking,2.745,1.333,5,117.6,9.9112,0.6021,9.9295,0,0,0,0.0006,0.0,Step freq ~2.75 Hz
195,M,Kicking,Brisk Walking,2.745,2.5,5,117.6,10.1156,1.1062,10.1759,0,0,0,0.0025,0.0001,Step freq ~2.75 Hz
196,M,Kicking,Running (fast),3.529,4.0,4,94.1,10.1934,1.3184,10.2783,0,0,0,0.0099,0.0008,"Step freq ~4.00 Hz, high cadence"
197,M,Kicking,Brisk Walking,1.569,1.429,4,94.1,10.1981,1.2388,10.2731,0,0,0,0.0026,0.0002,Step freq ~1.57 Hz
198,M,Kicking,Brisk Walking,1.569,1.667,4,94.1,10.2397,1.9707,10.4276,0,0,0,0.0032,0.0005,Step freq ~1.67 Hz
199,M,Kicking,Brisk Walking,1.176,1.429,4,94.1,10.8944,1.5187,10.9998,0,0,0,0.0052,0.001,Step freq ~1.43 Hz
200,M,Kicking,Brisk Walking,1.961,2.5,4,94.1,10.2704,1.1387,10.3334,0,0,0,0.0065,0.0001,Step freq ~2.50 Hz
201,M,Kicking,Brisk Walking,1.961,2.222,4,94.1,9.924,1.1255,9.9876,0,0,0,0.004,0.0004,Step freq ~2.22 Hz
202,M,Kicking,Brisk Walking,2.353,2.5,4,94.1,9.9155,0.8361,9.9507,0,0,0,0.0039,0.0001,Step freq ~2.50 Hz
203,M,Kicking,Brisk Walking,1.961,2.0,5,117.6,10.1559,1.0431,10.2093,0,0,0,0.0018,0.0001,Step freq ~2.00 Hz
204,M,Kicking,Brisk Walking,2.353,2.857,5,117.6,10.1777,1.2137,10.2498,0,0,0,0.0046,0.0003,Step freq ~2.86 Hz
205,M,Kicking,Brisk Walking,1.176,1.429,5,117.6,9.9155,0.7394,9.943,0,0,0,0.0018,0.0001,Step freq ~1.43 Hz
206,M,Kicking,Walking,1.176,0.952,4,94.1,10.0526,0.523,10.0662,0,0,0,0.0008,0.0001,Step freq ~1.18 Hz
207,M,Kicking,Brisk Walking,2.353,2.222,5,117.6,9.9627,0.8811,10.0016,0,0,0,0.0025,0.0002,Step freq ~2.35 Hz
208,M,Kicking,Brisk Walking,2.353,2.222,5,117.6,9.932,1.0717,9.9896,0,0,0,0.0027,0.0001,Step freq ~2.35 Hz
209,M,Kicking,Brisk Walking,1.961,1.818,2,47.1,10.011,1.3521,10.1019,0,0,0,0.0027,0.0004,Step freq ~1.96 Hz
210,M,Kicking,Brisk Walking,1.961,2.0,5,117.6,10.2821,1.2118,10.3533,0,0,0,0.0031,0.0005,Step freq ~2.00 Hz
211,M,Kicking,Brisk Walking,1.961,2.0,5,117.6,9.9856,0.5788,10.0023,0,0,0,0.0011,0.0001,Step freq ~2.00 Hz
212,M,Kicking,Brisk Walking,1.569,1.818,5,117.6,10.4107,1.4745,10.5146,0,0,0,0.0041,0.0005,Step freq ~1.82 Hz
213,O,Catch,Walking,0.784,1.176,2,47.1,11.7197,3.3202,12.1809,0,0,0,0.0175,0.003,Step freq ~1.18 Hz
214,O,Catch,Walking,0.784,0.714,4,94.1,11.1448,4.1193,11.8817,0,0,0,0.0166,0.0025,Step freq ~0.78 Hz
215,O,Catch,Brisk Walking,1.961,1.053,3,70.6,11.8462,4.3206,12.6095,0,0,0,0.0094,0.0105,Step freq ~1.96 Hz
216,O,Catch,Walking,0.784,1.111,3,70.6,10.4369,3.9232,11.1499,0,0,0,0.0058,0.0011,Step freq ~1.11 Hz
217,O,Catch,Walking,0.784,0.0,3,70.6,11.6075,4.511,12.4533,0,0,0,0.0299,0.0097,Step freq ~0.78 Hz
218,O,Catch,Brisk Walking,1.569,1.818,5,117.6,11.2498,4.944,12.2883,0,0,0,0.0254,0.0099,Step freq ~1.82 Hz
219,O,Catch,Walking,1.176,1.333,4,94.1,11.4062,5.3731,12.6084,0,0,0,0.0292,0.0058,Step freq ~1.33 Hz
220,O,Catch,Walking,1.176,1.176,3,70.6,11.0693,4.7669,12.0521,0,0,0,0.0125,0.0132,Step freq ~1.18 Hz
221,O,Catch,Brisk Walking,1.569,1.818,5,117.6,11.5388,3.5285,12.0662,0,0,0,0.0111,0.0024,Step freq ~1.82 Hz
222,O,Catch,Walking,1.176,1.176,3,70.6,10.8713,3.9179,11.5557,0,0,0,0.0283,0.01,Step freq ~1.18 Hz
223,O,Catch,Walking,1.176,1.053,3,70.6,11.4596,4.1454,12.1864,0,0,0,0.0158,0.0094,Step freq ~1.18 Hz
224,O,Catch,Walking,0.784,0.87,3,70.6,11.6544,4.8713,12.6315,0,0,0,0.0142,0.0092,Step freq ~0.87 Hz
225,O,Catch,Brisk Walking,1.961,0.952,4,94.1,10.7948,3.7407,11.4246,0,0,0,0.0243,0.0016,Step freq ~1.96 Hz
226,O,Catch,Walking,0.784,0.0,2,47.1,11.0324,3.9005,11.7016,0,0,0,0.0105,0.005,Step freq ~0.78 Hz
227,O,Catch,Brisk Walking,1.176,1.429,4,94.1,11.1199,3.4558,11.6445,0,0,0,0.0222,0.0047,Step freq ~1.43 Hz
228,O,Catch,Brisk Walking,1.961,2.222,4,94.1,11.2689,4.0122,11.9619,0,0,0,0.028,0.0087,Step freq ~2.22 Hz
229,O,Catch,Walking,0.784,0.87,3,70.6,12.3042,4.8076,13.21,0,0,0,0.0518,0.0018,Step freq ~0.87 Hz
230,O,Catch,Walking,0.784,0.667,4,94.1,11.3764,4.0967,12.0916,0,0,0,0.0178,0.0032,Step freq ~0.78 Hz
231,O,Catch,Brisk Walking,0.784,2.5,5,117.6,10.4728,3.8041,11.1424,0,0,0,0.0355,0.0112,Step freq ~2.50 Hz
232,O,Catch,Walking,1.176,1.053,2,47.1,11.1731,4.1246,11.9101,0,0,0,0.0205,0.0078,Step freq ~1.18 Hz
233,O,Catch,Walking,0.784,1.0,2,47.1,11.0078,3.8725,11.6691,0,0,0,0.0045,0.0013,Step freq ~1.00 Hz
234,O,Catch,Brisk Walking,2.353,0.8,5,117.6,11.0534,3.3987,11.5641,0,0,0,0.0313,0.0025,Step freq ~2.35 Hz
235,O,Catch,Walking,0.784,0.0,2,47.1,11.2198,3.8352,11.8572,0,0,0,0.0167,0.0128,Step freq ~0.78 Hz
236,O,Catch,Walking,0.784,0.833,3,70.6,11.2809,4.2168,12.0433,0,0,0,0.0304,0.0019,Step freq ~0.83 Hz
237,O,Catch,Walking,0.784,0.87,3,70.6,10.7817,3.4769,11.3285,0,0,0,0.0081,0.0003,Step freq ~0.87 Hz
238,O,Catch,Running (fast),4.314,0.0,1,23.5,11.8404,4.9034,12.8156,0,0,0,0.0283,0.0337,"Step freq ~4.31 Hz, high cadence"
239,O,Catch,Brisk Walking,2.353,1.111,3,70.6,11.2354,3.9095,11.8962,0,0,0,0.0452,0.006,Step freq ~2.35 Hz
240,O,Catch,Walking,0.784,0.952,3,70.6,11.5591,4.7405,12.4934,0,0,0,0.0074,0.0107,Step freq ~0.95 Hz
241,O,Catch,Brisk Walking,1.569,1.667,2,47.1,10.9695,2.9664,11.3636,0,0,0,0.0097,0.0029,Step freq ~1.67 Hz
242,O,Catch,Brisk Walking,2.353,2.5,3,70.6,10.9082,3.7851,11.5463,0,0,0,0.0273,0.0068,Step freq ~2.50 Hz
243,O,Catch,Walking,1.176,1.176,3,70.6,11.5065,4.145,12.2303,0,0,0,0.0136,0.0027,Step freq ~1.18 Hz
244,O,Catch,Walking,1.176,0.952,4,94.1,10.8578,4.4229,11.7241,0,0,0,0.0297,0.0109,Step freq ~1.18 Hz
245,O,Catch,Walking,0.784,1.0,3,70.6,11.2944,4.1319,12.0264,0,0,0,0.0054,0.0007,Step freq ~1.00 Hz
246,O,Catch,Walking,1.176,0.667,3,70.6,11.223,3.8678,11.8708,0,0,0,0.0141,0.0064,Step freq ~1.18 Hz
247,O,Catch,Brisk Walking,1.176,1.429,4,94.1,11.1724,3.5594,11.7257,0,0,0,0.0191,0.0011,Step freq ~1.43 Hz
248,O,Catch,Brisk Walking,3.137,2.857,6,141.2,10.8728,3.2356,11.344,0,0,0,0.0279,0.0052,Step freq ~3.14 Hz
249,O,Catch,Walking,1.176,1.0,2,47.1,11.3372,3.9421,12.003,0,0,0,0.0039,0.0019,Step freq ~1.18 Hz
250,O,Catch,Walking,1.176,1.111,5,117.6,10.7991,3.1804,11.2577,0,0,0,0.0128,0.006,Step freq ~1.18 Hz
251,O,Catch,Brisk Walking,1.176,1.429,2,47.1,11.1452,3.7924,11.7727,0,0,0,0.0131,0.0051,Step freq ~1.43 Hz
252,O,Catch,Walking,1.176,1.0,2,47.1,11.2726,4.6451,12.1921,0,0,0,0.0236,0.0084,Step freq ~1.18 Hz
253,O,Catch,Walking,0.784,0.909,3,70.6,11.1576,3.824,11.7947,0,0,0,0.0057,0.0008,Step freq ~0.91 Hz
254,O,Catch,Walking,1.176,1.176,3,70.6,10.6622,3.7985,11.3186,0,0,0,0.0392,0.0018,Step freq ~1.18 Hz
255,O,Catch,Walking,1.176,1.25,3,70.6,10.847,3.9468,11.5427,0,0,0,0.0131,0.0072,Step freq ~1.25 Hz
256,O,Catch,Walking,0.784,0.952,3,70.6,11.3105,5.194,12.4461,0,0,0,0.0332,0.0078,Step freq ~0.95 Hz
257,O,Catch,Walking,0.784,0.909,3,70.6,11.602,4.2127,12.3431,0,0,0,0.0106,0.0005,Step freq ~0.91 Hz
258,O,Catch,Walking,0.784,0.909,3,70.6,11.3233,4.122,12.0503,0,0,0,0.0136,0.0043,Step freq ~0.91 Hz
259,O,Catch,Walking,1.176,1.333,4,94.1,10.6101,3.1476,11.0671,0,0,0,0.0072,0.0063,Step freq ~1.33 Hz
260,O,Catch,Walking,0.784,0.833,3,70.6,11.5014,4.8442,12.4799,0,0,0,0.022,0.0053,Step freq ~0.83 Hz
261,O,Catch,Walking,1.176,1.176,2,47.1,10.5977,3.4721,11.152,0,0,0,0.0062,0.0005,Step freq ~1.18 Hz
262,O,Catch,Brisk Walking,1.961,1.053,3,70.6,10.4344,3.5804,11.0316,0,0,0,0.0182,0.0043,Step freq ~1.96 Hz
263,O,Catch,Walking,1.176,1.176,3,70.6,11.3191,4.1483,12.0553,0,0,0,0.0125,0.0006,Step freq ~1.18 Hz
264,O,Catch,Walking,1.176,1.053,2,47.1,11.1972,4.1382,11.9375,0,0,0,0.0224,0.0095,Step freq ~1.18 Hz
265,O,Catch,Brisk Walking,1.961,1.818,3,70.6,11.1708,2.9435,11.5521,0,0,0,0.0054,0.0011,Step freq ~1.96 Hz
266,O,Catch,Walking,1.176,0.952,3,70.6,10.3266,3.6178,10.942,0,0,0,0.0286,0.0013,Step freq ~1.18 Hz
267,O,Catch,Walking,1.176,1.053,4,94.1,11.4363,3.9327,12.0936,0,0,0,0.0188,0.011,Step freq ~1.18 Hz
268,O,Catch,Walking,0.784,0.87,2,47.1,11.1068,4.401,11.9469,0,0,0,0.005,0.0007,Step freq ~0.87 Hz
269,O,Catch,Walking,0.784,0.714,4,94.1,10.7259,2.7901,11.0828,0,0,0,0.015,0.0096,Step freq ~0.78 Hz
270,O,Catch,Brisk Walking,1.961,2.0,3,70.6,10.7619,3.9529,11.4649,0,0,0,0.0241,0.0059,Step freq ~2.00 Hz
271,O,Catch,Walking,1.176,1.053,2,47.1,10.9766,4.3603,11.8109,0,0,0,0.0153,0.0012,Step freq ~1.18 Hz
272,O,Catch,Walking,1.176,1.111,4,94.1,11.2807,4.5693,12.171,0,0,0,0.0349,0.0146,Step freq ~1.18 Hz
273,O,Catch,Brisk Walking,1.961,2.0,3,70.6,10.7304,3.7092,11.3534,0,0,0,0.026,0.0011,Step freq ~2.00 Hz
274,O,Catch,Brisk Walking,1.176,1.429,2,47.1,11.1014,3.9012,11.7669,0,0,0,0.0097,0.0083,Step freq ~1.43 Hz
275,O,Catch,Brisk Walking,1.961,2.0,4,94.1,10.2564,2.6913,10.6036,0,0,0,0.0175,0.003,Step freq ~2.00 Hz
276,O,Catch,Walking,0.784,0.8,3,70.6,11.114,3.3193,11.5991,0,0,0,0.021,0.0008,Step freq ~0.80 Hz
277,O,Catch,Walking,1.176,1.111,2,47.1,10.8875,3.7599,11.5185,0,0,0,0.0202,0.0034,Step freq ~1.18 Hz
278,O,Catch,Walking,0.784,0.0,2,47.1,11.233,3.2337,11.6892,0,0,0,0.004,0.0008,Step freq ~0.78 Hz
279,O,Catch,Brisk Walking,1.961,0.952,4,94.1,10.4858,3.533,11.065,0,0,0,0.0064,0.0108,Step freq ~1.96 Hz
280,O,Catch,Brisk Walking,1.961,0.952,4,94.1,10.7999,4.0497,11.5342,0,0,0,0.0222,0.003,Step freq ~1.96 Hz
281,O,Catch,Walking,0.784,1.0,3,70.6,10.8192,3.5325,11.3813,0,0,0,0.0184,0.0018,Step freq ~1.00 Hz
282,O,Catch,Walking,1.176,1.053,4,94.1,10.6019,2.8829,10.9869,0,0,0,0.0134,0.0027,Step freq ~1.18 Hz
283,O,Catch,Walking,1.176,1.053,3,70.6,11.2874,4.1679,12.0324,0,0,0,0.0137,0.0147,Step freq ~1.18 Hz
284,A,Walking,Brisk Walking,1.569,1.538,5,117.6,10.0779,1.7025,10.2207,0,0,0,0.0045,0.0007,Step freq ~1.57 Hz
285,A,Walking,Brisk Walking,1.961,1.818,5,117.6,10.5049,2.4644,10.7901,0,0,0,0.0111,0.0003,Step freq ~1.96 Hz
286,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.6969,2.2656,10.9342,0,0,0,0.008,0.0003,Step freq ~1.96 Hz
287,A,Walking,Brisk Walking,1.961,1.818,5,117.6,10.5504,2.5438,10.8528,0,0,0,0.0099,0.0006,Step freq ~1.96 Hz
288,A,Walking,Brisk Walking,1.961,1.818,5,117.6,10.6741,2.8872,11.0577,0,0,0,0.0126,0.0018,Step freq ~1.96 Hz
289,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.4534,2.4632,10.7397,0,0,0,0.0137,0.0004,Step freq ~1.96 Hz
290,A,Walking,Brisk Walking,1.961,2.0,4,94.1,10.91,1.8536,11.0663,0,0,0,0.0073,0.0003,Step freq ~2.00 Hz
291,A,Walking,Brisk Walking,1.961,2.0,3,70.6,10.9964,1.9584,11.1695,0,0,0,0.0081,0.0002,Step freq ~2.00 Hz
292,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.8413,1.8672,11.0009,0,0,0,0.004,0.0002,Step freq ~1.96 Hz
293,A,Walking,Brisk Walking,1.961,1.667,4,94.1,11.0451,2.0724,11.2379,0,0,0,0.0039,0.0003,Step freq ~1.96 Hz
294,A,Walking,Brisk Walking,1.961,0.952,5,117.6,11.8146,2.0,11.9827,0,0,0,0.0036,0.0005,Step freq ~1.96 Hz
295,A,Walking,Walking,0.784,0.909,4,94.1,10.9708,1.9648,11.1453,0,0,0,0.0033,0.0004,Step freq ~0.91 Hz
296,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.9114,1.8626,11.0692,0,0,0,0.0038,0.0003,Step freq ~1.96 Hz
297,A,Walking,Brisk Walking,1.961,0.952,4,94.1,11.5062,1.7736,11.6421,0,0,0,0.0038,0.0004,Step freq ~1.96 Hz
298,A,Walking,Brisk Walking,1.569,1.667,3,70.6,11.6355,1.9502,11.7978,0,0,0,0.0046,0.0003,Step freq ~1.67 Hz
299,A,Walking,Brisk Walking,1.569,1.538,4,94.1,11.8461,2.6459,12.138,0,0,0,0.0129,0.0004,Step freq ~1.57 Hz
300,A,Walking,Brisk Walking,1.961,1.818,5,117.6,12.8259,2.3313,13.036,0,0,0,0.0037,0.0003,Step freq ~1.96 Hz
301,A,Walking,Brisk Walking,1.961,0.952,4,94.1,11.9332,2.4257,12.1772,0,0,0,0.009,0.0005,Step freq ~1.96 Hz
302,A,Walking,Brisk Walking,1.961,0.952,4,94.1,12.2022,2.7805,12.515,0,0,0,0.0137,0.0007,Step freq ~1.96 Hz
303,A,Walking,Brisk Walking,1.961,0.952,4,94.1,12.5084,2.7103,12.7986,0,0,0,0.007,0.0003,Step freq ~1.96 Hz
304,A,Walking,Brisk Walking,1.961,1.818,5,117.6,12.5115,2.7461,12.8093,0,0,0,0.0166,0.0006,Step freq ~1.96 Hz
305,A,Walking,Brisk Walking,1.961,0.952,4,94.1,11.911,2.1091,12.0962,0,0,0,0.0061,0.0003,Step freq ~1.96 Hz
306,A,Walking,Brisk Walking,2.745,0.952,6,141.2,11.7343,1.9757,11.8994,0,0,0,0.0081,0.0004,Step freq ~2.75 Hz
307,A,Walking,Brisk Walking,1.961,1.0,4,94.1,12.5876,2.6695,12.8675,0,0,0,0.0063,0.0003,Step freq ~1.96 Hz
308,A,Walking,Brisk Walking,2.353,2.5,5,117.6,11.6165,2.6422,11.9132,0,0,0,0.0123,0.0005,Step freq ~2.50 Hz
309,A,Walking,Walking,1.176,1.053,4,94.1,12.2675,2.2052,12.4641,0,0,0,0.0059,0.0006,Step freq ~1.18 Hz
310,A,Walking,Brisk Walking,1.961,1.0,3,70.6,11.7044,2.3018,11.9286,0,0,0,0.0066,0.0003,Step freq ~1.96 Hz
311,A,Walking,Brisk Walking,1.961,1.818,5,117.6,11.8194,2.3223,12.0454,0,0,0,0.0038,0.0005,Step freq ~1.96 Hz
312,A,Walking,Brisk Walking,1.961,1.818,3,70.6,11.2078,1.9448,11.3753,0,0,0,0.0053,0.0002,Step freq ~1.96 Hz
313,A,Walking,Brisk Walking,1.569,1.818,4,94.1,11.0383,2.3137,11.2782,0,0,0,0.0055,0.0003,Step freq ~1.82 Hz
314,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.158,2.0489,11.3445,0,0,0,0.0069,0.0005,Step freq ~1.96 Hz
315,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.6245,1.8214,10.7795,0,0,0,0.005,0.0004,Step freq ~1.96 Hz
316,A,Walking,Brisk Walking,1.569,1.818,4,94.1,10.6935,1.7776,10.8403,0,0,0,0.0037,0.0004,Step freq ~1.82 Hz
317,A,Walking,Brisk Walking,1.961,1.667,4,94.1,10.6122,1.7771,10.76,0,0,0,0.0041,0.0003,Step freq ~1.96 Hz
318,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.1588,2.2697,11.3873,0,0,0,0.0046,0.0003,Step freq ~1.96 Hz
319,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.1005,1.8486,11.2534,0,0,0,0.0056,0.0002,Step freq ~1.96 Hz
320,A,Walking,Brisk Walking,2.745,1.538,5,117.6,11.0982,1.5948,11.2122,0,0,0,0.0056,0.0003,Step freq ~2.75 Hz
321,A,Walking,Brisk Walking,1.961,2.0,4,94.1,11.3255,2.1311,11.5242,0,0,0,0.0089,0.0002,Step freq ~2.00 Hz
322,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.0896,1.5123,11.1922,0,0,0,0.0023,0.0002,Step freq ~1.96 Hz
323,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.9883,2.2214,11.2106,0,0,0,0.0083,0.0017,Step freq ~1.96 Hz
324,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.4191,2.6898,11.7316,0,0,0,0.0101,0.0002,Step freq ~1.96 Hz
325,A,Walking,Brisk Walking,1.961,1.818,5,117.6,11.6912,2.6626,11.9905,0,0,0,0.0128,0.0007,Step freq ~1.96 Hz
326,A,Walking,Brisk Walking,1.961,1.818,5,117.6,12.0154,2.8027,12.338,0,0,0,0.006,0.0002,Step freq ~1.96 Hz
327,A,Walking,Brisk Walking,1.961,2.0,4,94.1,11.4153,2.2569,11.6363,0,0,0,0.0077,0.0005,Step freq ~2.00 Hz
328,A,Walking,Brisk Walking,1.961,1.818,5,117.6,11.4839,2.2344,11.6992,0,0,0,0.0092,0.0003,Step freq ~1.96 Hz
329,A,Walking,Brisk Walking,1.961,1.667,5,117.6,11.509,2.2855,11.7338,0,0,0,0.0097,0.0017,Step freq ~1.96 Hz
330,A,Walking,Brisk Walking,1.961,1.818,2,47.1,10.7704,3.0806,11.2023,0,0,0,0.009,0.0003,Step freq ~1.96 Hz
331,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.2128,2.1761,11.422,0,0,0,0.0026,0.0002,Step freq ~1.96 Hz
332,A,Walking,Brisk Walking,1.961,1.818,5,117.6,11.622,1.7883,11.7587,0,0,0,0.0051,0.0003,Step freq ~1.96 Hz
333,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.0288,2.0004,11.2087,0,0,0,0.0061,0.0004,Step freq ~1.96 Hz
334,A,Walking,Brisk Walking,1.569,1.538,4,94.1,11.3819,1.8392,11.5295,0,0,0,0.0059,0.0005,Step freq ~1.57 Hz
335,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.297,2.1363,11.4972,0,0,0,0.0031,0.0015,Step freq ~1.96 Hz
336,A,Walking,Brisk Walking,1.961,2.0,5,117.6,11.2482,2.129,11.4479,0,0,0,0.0066,0.0003,Step freq ~2.00 Hz
337,A,Walking,Brisk Walking,1.961,2.0,4,94.1,10.817,2.2825,11.0552,0,0,0,0.011,0.0003,Step freq ~2.00 Hz
338,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.0,2.4071,11.2603,0,0,0,0.0064,0.0002,Step freq ~1.96 Hz
339,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.8173,1.6375,10.9406,0,0,0,0.0053,0.0003,Step freq ~1.96 Hz
340,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.2552,2.2172,10.4921,0,0,0,0.0059,0.0006,Step freq ~1.96 Hz
341,A,Walking,Brisk Walking,1.569,1.818,4,94.1,10.3756,2.1451,10.595,0,0,0,0.0025,0.0003,Step freq ~1.82 Hz
342,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.5624,2.3964,10.8309,0,0,0,0.01,0.0007,Step freq ~1.96 Hz
343,A,Walking,Brisk Walking,1.961,1.818,5,117.6,10.5311,2.3558,10.7914,0,0,0,0.0074,0.0005,Step freq ~1.96 Hz
344,A,Walking,Brisk Walking,1.961,1.818,4,94.1,10.3407,2.422,10.6206,0,0,0,0.0087,0.0005,Step freq ~1.96 Hz
345,A,Walking,Brisk Walking,1.961,2.0,5,117.6,10.415,2.251,10.6554,0,0,0,0.0051,0.0003,Step freq ~2.00 Hz
346,A,Walking,Brisk Walking,1.569,1.818,5,117.6,10.5925,2.082,10.7952,0,0,0,0.0043,0.0003,Step freq ~1.82 Hz
347,A,Walking,Brisk Walking,1.961,1.818,4,94.1,11.0114,1.6662,11.1368,0,0,0,0.0049,0.0002,Step freq ~1.96 Hz
348,A,Walking,Brisk Walking,0.784,1.818,3,70.6,11.3375,1.7222,11.4675,0,0,0,0.003,0.0004,Step freq ~1.82 Hz
349,A,Walking,Brisk Walking,1.961,2.0,4,94.1,10.7213,2.0911,10.9234,0,0,0,0.009,0.0004,Step freq ~2.00 Hz
350,A,Walking,Brisk Walking,1.569,1.667,4,94.1,10.4855,1.8251,10.6432,0,0,0,0.0026,0.0003,Step freq ~1.67 Hz
351,A,Walking,Brisk Walking,1.569,1.667,4,94.1,10.9482,1.8086,11.0966,0,0,0,0.0056,0.0003,Step freq ~1.67 Hz
352,A,Walking,Brisk Walking,0.784,1.818,4,94.1,11.733,2.1231,11.9235,0,0,0,0.006,0.0003,Step freq ~1.82 Hz
353,A,Walking,Brisk Walking,0.784,1.667,4,94.1,11.518,1.7441,11.6493,0,0,0,0.0065,0.0004,Step freq ~1.67 Hz
354,B,Jogging,Brisk Walking,2.353,2.222,3,70.6,12.948,4.288,13.6395,0,0,0,0.0298,0.0072,Step freq ~2.35 Hz
355,B,Jogging,Brisk Walking,1.961,2.222,6,141.2,16.7545,6.4694,17.9602,0,0,0,0.0284,0.0043,Step freq ~2.22 Hz
356,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,13.6102,5.2549,14.5894,0,0,0,0.0124,0.0096,Step freq ~2.50 Hz
357,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.3999,5.1895,15.3065,0,0,0,0.0479,0.0032,Step freq ~2.50 Hz
358,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.0634,5.0313,14.9363,0,0,0,0.0364,0.0046,Step freq ~2.50 Hz
359,B,Jogging,Brisk Walking,2.745,2.5,6,141.2,14.1263,5.4665,15.1471,0,0,0,0.0505,0.0034,Step freq ~2.75 Hz
360,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,12.7565,4.8712,13.6549,0,0,0,0.0804,0.0031,Step freq ~2.50 Hz
361,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,13.9922,5.3001,14.9623,0,0,0,0.0698,0.0033,Step freq ~2.50 Hz
362,B,Jogging,Brisk Walking,2.745,2.5,6,141.2,13.6397,5.0799,14.555,0,0,0,0.072,0.0041,Step freq ~2.75 Hz
363,B,Jogging,Brisk Walking,2.353,2.5,5,117.6,16.5047,6.1223,17.6036,0,0,0,0.0248,0.0026,Step freq ~2.50 Hz
364,B,Jogging,Brisk Walking,2.745,2.5,6,141.2,12.8832,4.8098,13.7517,0,0,0,0.0367,0.0054,Step freq ~2.75 Hz
365,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.8295,5.6061,15.8538,0,0,0,0.0338,0.0071,Step freq ~2.50 Hz
366,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,15.3426,4.9249,16.1137,0,0,0,0.0475,0.0043,Step freq ~2.50 Hz
367,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.4655,5.1039,15.3395,0,0,0,0.0488,0.0027,Step freq ~2.50 Hz
368,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.212,5.2914,15.1651,0,0,0,0.0267,0.0056,Step freq ~2.50 Hz
369,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,13.0146,4.8617,13.893,0,0,0,0.0808,0.0026,Step freq ~2.50 Hz
370,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,13.3748,5.0772,14.3061,0,0,0,0.0684,0.0019,Step freq ~2.50 Hz
371,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,14.3556,4.9537,15.1863,0,0,0,0.0451,0.0027,Step freq ~2.50 Hz
372,B,Jogging,Brisk Walking,2.353,2.222,5,117.6,14.0889,4.7844,14.8791,0,0,0,0.0196,0.0028,Step freq ~2.35 Hz
373,B,Jogging,Brisk Walking,2.353,2.5,6,141.2,13.8354,5.1644,14.7679,0,0,0,0.0376,0.0022,Step freq ~2.50 Hz
